Country_id,Country,Month
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
AUSTRALIA6,AUSTRALIA,6
BRAZIL6,BRAZIL,6
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
SOUTH AFRICA5,SOUTH AFRICA,5
THAILAND4,THAILAND,4
COSTA RICA4,COSTA RICA,4
AUSTRALIA4,AUSTRALIA,4
AUSTRALIA4,AUSTRALIA,4
AUSTRALIA4,AUSTRALIA,4
MALDIVES4,MALDIVES,4
SOUTH AFRICA4,SOUTH AFRICA,4
USA4,USA,4
THAILAND4,THAILAND,4
BRAZIL4,BRAZIL,4
AUSTRALIA4,AUSTRALIA,4
AUSTRALIA4,AUSTRALIA,4
BAHAMAS4,BAHAMAS,4
NEW CALEDONIA4,NEW CALEDONIA,4
BAHAMAS4,BAHAMAS,4
SOUTH AFRICA4,SOUTH AFRICA,4
USA3,USA,3
AUSTRALIA3,AUSTRALIA,3
AUSTRALIA3,AUSTRALIA,3
AUSTRALIA3,AUSTRALIA,3
SOUTH AFRICA2,SOUTH AFRICA,2
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
ECUADOR2,ECUADOR,2
AUSTRALIA1,AUSTRALIA,1
NEW CALEDONIA1,NEW CALEDONIA,1
AUSTRALIA1,AUSTRALIA,1
AUSTRALIA1,AUSTRALIA,1
BRAZIL1,BRAZIL,1
AUSTRALIA1,AUSTRALIA,1
USA12,USA,12
USA12,USA,12
BAHAMAS12,BAHAMAS,12
COSTA RICA11,COSTA RICA,11
COSTA RICA11,COSTA RICA,11
USA11,USA,11
USA11,USA,11
other11,other,11
AUSTRALIA11,AUSTRALIA,11
CUBA11,CUBA,11
AUSTRALIA10,AUSTRALIA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
MAURITIUS10,MAURITIUS,10
USA10,USA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
NEW ZEALAND10,NEW ZEALAND,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
USA9,USA,9
SPAIN9,SPAIN,9
USA9,USA,9
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
AUSTRALIA9,AUSTRALIA,9
SOLOMON ISLANDS9,SOLOMON ISLANDS,9
SOUTH AFRICA9,SOUTH AFRICA,9
JAPAN9,JAPAN,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
AUSTRALIA8,AUSTRALIA,8
USA8,USA,8
NEW ZEALAND8,NEW ZEALAND,8
USA8,USA,8
BAHAMAS8,BAHAMAS,8
USA8,USA,8
EGYPT8,EGYPT,8
USA7,USA,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
BAHAMAS7,BAHAMAS,7
"ST HELENA, British overseas territory7","ST HELENA, British overseas territory",7
USA7,USA,7
SPAIN7,SPAIN,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
AUSTRALIA7,AUSTRALIA,7
USA7,USA,7
SOUTH AFRICA7,SOUTH AFRICA,7
USA6,USA,6
USA6,USA,6
USA6,USA,6
REUNION6,REUNION,6
SPAIN6,SPAIN,6
FRENCH POLYNESIA6,FRENCH POLYNESIA,6
BAHAMAS6,BAHAMAS,6
AUSTRALIA6,AUSTRALIA,6
AUSTRALIA6,AUSTRALIA,6
USA6,USA,6
UNITED KINGDOM6,UNITED KINGDOM,6
USA6,USA,6
BAHAMAS6,BAHAMAS,6
USA5,USA,5
UNITED ARAB EMIRATES5,UNITED ARAB EMIRATES,5
MEXICO6,MEXICO,6
USA4,USA,4
SOUTH AFRICA4,SOUTH AFRICA,4
USA4,USA,4
REUNION4,REUNION,4
NEW ZEALAND4,NEW ZEALAND,4
"ST HELENA, British overseas territory4","ST HELENA, British overseas territory",4
USA4,USA,4
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
USA3,USA,3
AUSTRALIA3,AUSTRALIA,3
PHILIPPINES3,PHILIPPINES,3
BAHAMAS3,BAHAMAS,3
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
REUNION2,REUNION,2
AUSTRALIA2,AUSTRALIA,2
USA2,USA,2
BAHAMAS2,BAHAMAS,2
BRAZIL1,BRAZIL,1
USA1,USA,1
AUSTRALIA1,AUSTRALIA,1
AUSTRALIA1,AUSTRALIA,1
USA1,USA,1
INDONESIA1,INDONESIA,1
USA1,USA,1
USA12,USA,12
AUSTRALIA12,AUSTRALIA,12
SOUTH AFRICA12,SOUTH AFRICA,12
AUSTRALIA12,AUSTRALIA,12
FRENCH POLYNESIA12,FRENCH POLYNESIA,12
AUSTRALIA12,AUSTRALIA,12
USA11,USA,11
USA10,USA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
USA9,USA,9
NEW CALEDONIA9,NEW CALEDONIA,9
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
USA9,USA,9
USA8,USA,8
USA8,USA,8
REUNION8,REUNION,8
USA8,USA,8
BAHAMAS8,BAHAMAS,8
USA8,USA,8
USA8,USA,8
SPAIN7,SPAIN,7
CHINA7,CHINA,7
AUSTRALIA7,AUSTRALIA,7
JAPAN7,JAPAN,7
AUSTRALIA7,AUSTRALIA,7
BAHAMAS7,BAHAMAS,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
SPAIN7,SPAIN,7
USA7,USA,7
USA6,USA,6
USA6,USA,6
COLUMBIA6,COLUMBIA,6
SOUTH AFRICA6,SOUTH AFRICA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
EGYPT6,EGYPT,6
AUSTRALIA6,AUSTRALIA,6
NEW CALEDONIA6,NEW CALEDONIA,6
AUSTRALIA5,AUSTRALIA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
INDONESIA4,INDONESIA,4
USA4,USA,4
SOUTH AFRICA4,SOUTH AFRICA,4
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
NEW CALEDONIA4,NEW CALEDONIA,4
USA4,USA,4
USA3,USA,3
AUSTRALIA3,AUSTRALIA,3
USA3,USA,3
AUSTRALIA3,AUSTRALIA,3
USA3,USA,3
Fiji3,Fiji,3
USA3,USA,3
AUSTRALIA3,AUSTRALIA,3
BRAZIL3,BRAZIL,3
NEW CALEDONIA2,NEW CALEDONIA,2
NEW CALEDONIA2,NEW CALEDONIA,2
DOMINICAN REPUBLIC2,DOMINICAN REPUBLIC,2
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
BRAZIL2,BRAZIL,2
USA1,USA,1
USA1,USA,1
USA1,USA,1
USA1,USA,1
AUSTRALIA1,AUSTRALIA,1
AUSTRALIA1,AUSTRALIA,1
AUSTRALIA1,AUSTRALIA,1
SPAIN12,SPAIN,12
USA12,USA,12
AUSTRALIA12,AUSTRALIA,12
BRAZIL12,BRAZIL,12
ARUBA12,ARUBA,12
BAHAMAS12,BAHAMAS,12
SOUTH AFRICA12,SOUTH AFRICA,12
ECUADOR11,ECUADOR,11
USA11,USA,11
USA11,USA,11
USA11,USA,11
AUSTRALIA11,AUSTRALIA,11
USA11,USA,11
USA11,USA,11
MOZAMBIQUE11,MOZAMBIQUE,11
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
SOUTH AFRICA10,SOUTH AFRICA,10
USA10,USA,10
USA10,USA,10
MOZAMBIQUE10,MOZAMBIQUE,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
MOZAMBIQUE10,MOZAMBIQUE,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
THAILAND9,THAILAND,9
FIJI9,FIJI,9
USA8,USA,8
USA8,USA,8
AUSTRALIA8,AUSTRALIA,8
USA8,USA,8
USA8,USA,8
AUSTRALIA7,AUSTRALIA,7
COSTA RICA7,COSTA RICA,7
USA7,USA,7
AUSTRALIA7,AUSTRALIA,7
AUSTRALIA7,AUSTRALIA,7
REUNION7,REUNION,7
SOUTH AFRICA7,SOUTH AFRICA,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
USA7,USA,7
AUSTRALIA7,AUSTRALIA,7
AUSTRALIA7,AUSTRALIA,7
USA7,USA,7
AUSTRALIA6,AUSTRALIA,6
USA6,USA,6
USA6,USA,6
SOUTH AFRICA6,SOUTH AFRICA,6
SOUTH AFRICA6,SOUTH AFRICA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
PUERTO RICO6,PUERTO RICO,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
REUNION6,REUNION,6
USA5,USA,5
USA5,USA,5
FRENCH POLYNESIA5,FRENCH POLYNESIA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
NEW CALEDONIA5,NEW CALEDONIA,5
USA5,USA,5
AUSTRALIA5,AUSTRALIA,5
SOUTH AFRICA5,SOUTH AFRICA,5
USA4,USA,4
USA4,USA,4
AUSTRALIA4,AUSTRALIA,4
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
REUNION4,REUNION,4
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
EGYPT3,EGYPT,3
USA3,USA,3
FRENCH POLYNESIA3,FRENCH POLYNESIA,3
FRENCH POLYNESIA3,FRENCH POLYNESIA,3
REUNION2,REUNION,2
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA1,AUSTRALIA,1
SOUTH AFRICA1,SOUTH AFRICA,1
AUSTRALIA1,AUSTRALIA,1
BAHAMAS1,BAHAMAS,1
SOUTH AFRICA1,SOUTH AFRICA,1
USA1,USA,1
AUSTRALIA12,AUSTRALIA,12
AUSTRALIA12,AUSTRALIA,12
USA12,USA,12
JAPAN12,JAPAN,12
AUSTRALIA12,AUSTRALIA,12
AUSTRALIA11,AUSTRALIA,11
USA11,USA,11
USA11,USA,11
AUSTRALIA11,AUSTRALIA,11
USA11,USA,11
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA9,USA,9
FRENCH POLYNESIA9,FRENCH POLYNESIA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
SPAIN9,SPAIN,9
USA8,USA,8
USA8,USA,8
SPAIN8,SPAIN,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
AUSTRALIA8,AUSTRALIA,8
USA8,USA,8
USA8,USA,8
BAHAMAS8,BAHAMAS,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
SOUTH AFRICA8,SOUTH AFRICA,8
USA7,USA,7
REUNION7,REUNION,7
USA7,USA,7
SPAIN7,SPAIN,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
BAHAMAS6,BAHAMAS,6
AUSTRALIA6,AUSTRALIA,6
AUSTRALIA6,AUSTRALIA,6
BRAZIL6,BRAZIL,6
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
JAPAN6,JAPAN,6
USA6,USA,6
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
USA6,USA,6
AUSTRALIA5,AUSTRALIA,5
FRANCE5,FRANCE,5
USA5,USA,5
AUSTRALIA5,AUSTRALIA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
SOUTH AFRICA5,SOUTH AFRICA,5
USA5,USA,5
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
USA4,USA,4
AUSTRALIA4,AUSTRALIA,4
SOUTH AFRICA3,SOUTH AFRICA,3
USA3,USA,3
USA3,USA,3
NEW CALEDONIA3,NEW CALEDONIA,3
AUSTRALIA3,AUSTRALIA,3
AUSTRALIA3,AUSTRALIA,3
USA3,USA,3
FRENCH POLYNESIA2,FRENCH POLYNESIA,2
AUSTRALIA2,AUSTRALIA,2
NEW ZEALAND2,NEW ZEALAND,2
NEW ZEALAND1,NEW ZEALAND,1
USA0,USA,0
NEW CALEDONIA12,NEW CALEDONIA,12
SOUTH AFRICA12,SOUTH AFRICA,12
KIRIBATI12,KIRIBATI,12
USA12,USA,12
USA12,USA,12
AUSTRALIA12,AUSTRALIA,12
USA12,USA,12
AUSTRALIA11,AUSTRALIA,11
USA11,USA,11
AUSTRALIA11,AUSTRALIA,11
USA11,USA,11
AUSTRALIA11,AUSTRALIA,11
USA11,USA,11
USA11,USA,11
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
REUNION10,REUNION,10
AUSTRALIA10,AUSTRALIA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
SOUTH AFRICA10,SOUTH AFRICA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
USA9,USA,9
ISRAEL9,ISRAEL,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
BAHAMAS9,BAHAMAS,9
USA9,USA,9
BAHAMAS8,BAHAMAS,8
USA8,USA,8
USA8,USA,8
AUSTRALIA8,AUSTRALIA,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
USA8,USA,8
SOUTH AFRICA8,SOUTH AFRICA,8
USA8,USA,8
USA7,USA,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
MEXICO7,MEXICO,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
BAHAMAS7,BAHAMAS,7
BRAZIL7,BRAZIL,7
USA7,USA,7
USA7,USA,7
REUNION7,REUNION,7
DIEGO GARCIA7,DIEGO GARCIA,7
USA7,USA,7
AUSTRALIA7,AUSTRALIA,7
TAIWAN6,TAIWAN,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
SOUTH AFRICA6,SOUTH AFRICA,6
USA6,USA,6
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
USA5,USA,5
USA5,USA,5
BRAZIL5,BRAZIL,5
ECUADOR5,ECUADOR,5
REUNION5,REUNION,5
USA5,USA,5
MEXICO4,MEXICO,4
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
SOUTH AFRICA4,SOUTH AFRICA,4
USA4,USA,4
GUAM4,GUAM,4
FRENCH POLYNESIA4,FRENCH POLYNESIA,4
USA4,USA,4
USA4,USA,4
SEYCHELLES3,SEYCHELLES,3
BELIZE3,BELIZE,3
BAHAMAS3,BAHAMAS,3
SOUTH AFRICA3,SOUTH AFRICA,3
JAMAICA3,JAMAICA,3
AUSTRALIA3,AUSTRALIA,3
PHILIPPINES3,PHILIPPINES,3
SOUTH AFRICA3,SOUTH AFRICA,3
NEW ZEALAND2,NEW ZEALAND,2
USA2,USA,2
USA2,USA,2
USA2,USA,2
FRENCH POLYNESIA2,FRENCH POLYNESIA,2
JAMAICA2,JAMAICA,2
AUSTRALIA1,AUSTRALIA,1
USA1,USA,1
NEW ZEALAND1,NEW ZEALAND,1
AUSTRALIA1,AUSTRALIA,1
USA12,USA,12
AUSTRALIA12,AUSTRALIA,12
AUSTRALIA12,AUSTRALIA,12
SOUTH AFRICA12,SOUTH AFRICA,12
AUSTRALIA12,AUSTRALIA,12
USA12,USA,12
AUSTRALIA12,AUSTRALIA,12
NEW ZEALAND12,NEW ZEALAND,12
USA11,USA,11
MEXICO11,MEXICO,11
USA11,USA,11
USA11,USA,11
USA11,USA,11
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
NIGERIA10,NIGERIA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA9,USA,9
USA9,USA,9
USA9,USA,9
TONGA9,TONGA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
AUSTRALIA8,AUSTRALIA,8
BRAZIL8,BRAZIL,8
USA8,USA,8
USA8,USA,8
REUNION8,REUNION,8
FRENCH POLYNESIA8,FRENCH POLYNESIA,8
USA7,USA,7
AUSTRALIA7,AUSTRALIA,7
USA7,USA,7
USA7,USA,7
REUNION7,REUNION,7
AUSTRALIA7,AUSTRALIA,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
SOUTH AFRICA7,SOUTH AFRICA,7
USA6,USA,6
USA6,USA,6
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
AUSTRALIA6,AUSTRALIA,6
USA6,USA,6
USA6,USA,6
USA5,USA,5
MEXICO5,MEXICO,5
USA5,USA,5
FIJI5,FIJI,5
USA5,USA,5
USA5,USA,5
USA4,USA,4
SOUTH AFRICA4,SOUTH AFRICA,4
USA4,USA,4
USA4,USA,4
AUSTRALIA3,AUSTRALIA,3
USA3,USA,3
AUSTRALIA3,AUSTRALIA,3
USA3,USA,3
USA3,USA,3
USA3,USA,3
NEW ZEALAND3,NEW ZEALAND,3
REUNION3,REUNION,3
USA3,USA,3
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
USA1,USA,1
AUSTRALIA1,AUSTRALIA,1
BAHAMAS1,BAHAMAS,1
AUSTRALIA1,AUSTRALIA,1
SOUTH AFRICA1,SOUTH AFRICA,1
USA1,USA,1
AUSTRALIA1,AUSTRALIA,1
AUSTRALIA1,AUSTRALIA,1
USA12,USA,12
ECUADOR12,ECUADOR,12
USA12,USA,12
AUSTRALIA12,AUSTRALIA,12
AUSTRALIA12,AUSTRALIA,12
USA12,USA,12
AUSTRALIA12,AUSTRALIA,12
INDONESIA11,INDONESIA,11
AUSTRALIA11,AUSTRALIA,11
PAPUA NEW GUINEA11,PAPUA NEW GUINEA,11
BRAZIL11,BRAZIL,11
REUNION11,REUNION,11
USA10,USA,10
SCOTLAND10,SCOTLAND,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
SOUTH AFRICA9,SOUTH AFRICA,9
USA9,USA,9
USA9,USA,9
REUNION9,REUNION,9
KENYA9,KENYA,9
USA9,USA,9
USA9,USA,9
PAPUA NEW GUINEA9,PAPUA NEW GUINEA,9
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
USA8,USA,8
USA8,USA,8
RUSSIA8,RUSSIA,8
USA8,USA,8
USA8,USA,8
SOUTH AFRICA8,SOUTH AFRICA,8
RUSSIA8,RUSSIA,8
USA8,USA,8
RUSSIA8,RUSSIA,8
FRENCH POLYNESIA8,FRENCH POLYNESIA,8
USA8,USA,8
SEYCHELLES8,SEYCHELLES,8
USA8,USA,8
SEYCHELLES8,SEYCHELLES,8
USA7,USA,7
SOUTH AFRICA7,SOUTH AFRICA,7
USA7,USA,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
USA7,USA,7
USA7,USA,7
REUNION7,REUNION,7
COLUMBIA7,COLUMBIA,7
TURKS & CAICOS6,TURKS & CAICOS,6
BRAZIL6,BRAZIL,6
SOUTH AFRICA6,SOUTH AFRICA,6
USA6,USA,6
USA6,USA,6
USA6,USA,6
TURKS & CAICOS6,TURKS & CAICOS,6
COSTA RICA6,COSTA RICA,6
REUNION6,REUNION,6
USA6,USA,6
COLUMBIA6,COLUMBIA,6
USA6,USA,6
USA6,USA,6
MALAYSIA6,MALAYSIA,6
USA5,USA,5
SOUTH AFRICA5,SOUTH AFRICA,5
USA5,USA,5
USA5,USA,5
SOUTH AFRICA5,SOUTH AFRICA,5
USA5,USA,5
NEW CALEDONIA5,NEW CALEDONIA,5
USA5,USA,5
SOUTH AFRICA5,SOUTH AFRICA,5
USA4,USA,4
AUSTRALIA4,AUSTRALIA,4
USA4,USA,4
NEW ZEALAND4,NEW ZEALAND,4
INDONESIA4,INDONESIA,4
FIJI4,FIJI,4
MEXICO3,MEXICO,3
AUSTRALIA3,AUSTRALIA,3
MEXICO3,MEXICO,3
FIJI3,FIJI,3
AUSTRALIA3,AUSTRALIA,3
AUSTRALIA3,AUSTRALIA,3
NEW CALEDONIA2,NEW CALEDONIA,2
REUNION2,REUNION,2
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
SOUTH AFRICA2,SOUTH AFRICA,2
MEXICO1,MEXICO,1
BAHAMAS1,BAHAMAS,1
SOUTH AFRICA1,SOUTH AFRICA,1
MEXICO1,MEXICO,1
USA12,USA,12
FIJI12,FIJI,12
USA12,USA,12
EGYPT12,EGYPT,12
INDONESIA12,INDONESIA,12
EGYPT12,EGYPT,12
EGYPT12,EGYPT,12
EGYPT11,EGYPT,11
EGYPT11,EGYPT,11
SAMOA11,SAMOA,11
DOMINICAN REPUBLIC11,DOMINICAN REPUBLIC,11
INDONESIA11,INDONESIA,11
AUSTRALIA10,AUSTRALIA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
EGYPT10,EGYPT,10
AUSTRALIA10,AUSTRALIA,10
BAHAMAS10,BAHAMAS,10
BAHAMAS10,BAHAMAS,10
SOUTH AFRICA10,SOUTH AFRICA,10
USA9,USA,9
USA9,USA,9
SOUTH AFRICA9,SOUTH AFRICA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
TONGA9,TONGA,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
SOLOMON ISLANDS9,SOLOMON ISLANDS,9
USA8,USA,8
AUSTRALIA8,AUSTRALIA,8
SOUTH KOREA8,SOUTH KOREA,8
