Country,Year,Area,Activity,Sex,Age,Fatal_Y_N,month,hemisph,Season
SOUTH AFRICA,2005,Western Cape Province,Spearfishing (Free diving),M,22,Y,6,South,winter
USA,2005,Texas,Wading,M,6,N,6,North,summer
USA,2005,Florida,Swimming,M,33,N,5,North,spring
USA,2005,Florida,Crouching in 2' of water,F,0,N,5,North,spring
SOUTH AFRICA,2005,Eastern Cape Province,Surfing,M,32,N,5,South,fall
AUSTRALIA,2005,Queensland,Spearfishing,M ,0,N,5,South,fall
MADAGASCAR,2005,other,Fishing,M,0,N,5,South,fall
USA,2005,Hawaii,Surfing,M,47,N,5,North,spring
AUSTRALIA,2005,New South Wales,other,UNKNOWN,0,N,4,South,fall
AUSTRALIA,2005,Northern Territory,Spearfishing,M,20,N,4,South,fall
AUSTRALIA,2005,New South Wales,Surfing,M,40,N,4,South,fall
USA,2005,Florida,Wading,F,70,N,4,North,spring
USA,2005,Texas,Surfing,M,37,N,4,North,spring
USA,2005,Florida,other,F,0,N,4,North,spring
SOUTH AFRICA,2005,Western Cape Province,Surfing,M,32,N,3,South,fall
AUSTRALIA,2005,New South Wales,Surfing,M,0,N,3,South,fall
VENEZUELA,2005,other,Surfing,M,0,N,3,North,spring
AUSTRALIA,2005,Western Australia,Snorkeling,M,26,Y,3,South,fall
SOLOMON ISLANDS,2005,Santa Isabel Province,Diving,M,0,N,3,South,fall
AUSTRALIA,2005,Queensland,Swimming,M,18,N,2,South,summer
USA,2005,Hawaii,Surfing,M,0,N,2,North,winter
USA,2005,Florida,Spearfishing,M,0,N,2,North,winter
BRAZIL,2005,Bahia,Surfing,M,12,N,2,South,summer
CUBA,2005,Santiago de Cuba Province,Swimming,M,19,N,1,North,winter
AUSTRALIA,2004,South Australia,Scurfing (surfboard being  towed behind a boat),M,18,Y,12,South,summer
AUSTRALIA,2004,Queensland,Spearfishing,M,38,Y,12,South,summer
SOUTH AFRICA,2004,Eastern Cape Province,Surfing,M,20,N,11,South,summer
SOUTH AFRICA,2004,Eastern Cape Province,Playing,M,16,N,11,South,summer
SOUTH AFRICA,2004,Western Cape Province,Swimming,F,77,Y,11,South,summer
USA,2004,California,Surfing,UNKNOWN,38,N,11,North,winter
VANUATU,2004,Malampa Province,Snorkeling,M,30s,N,11,South,summer
NEW CALEDONIA,2004,North Province,Diving,UNKNOWN,0,N,11,South,summer
CUBA,2004,Camaguey Province,Diving,M,40,N,10,North,fall
SOUTH AFRICA,2004,Western Cape Province,Chumming for white sharks,M,52,N,10,South,spring
AUSTRALIA,2004,New South Wales,Surfing,M,59,N,10,South,spring
USA,2004,California,Surfing,M,0,N,10,North,fall
USA,2004,Hawaii,Spearfishing,M,34,N,10,North,fall
SOUTH AFRICA,2004,Eastern Cape Province,Surfing,M,34,N,10,South,spring
REUNION,2004,Conservatória District,Body boarding,M,15,N,10,South,spring
USA,2004,California,Surfing,M,16,N,10,North,fall
USA,2004,California,Surfing,M,40,N,10,North,fall
USA,2004,Oregon,Surfing,M,26,N,9,North,fall
BRAZIL,2004,Pernambuco,Swimming,UNKNOWN,0,Y,9,South,spring
USA,2004,South Carolina ,Jumping,F,17,N,9,North,fall
USA,2004,Florida,Walking,F,38,N,8,North,summer
BRAZIL,2004,Pernambuco,Bathing,M,24,N,8,South,winter
USA,2004,California,Surfing,M,0,N,8,North,summer
USA,2004,California,Diving,M,50,Y,8,North,summer
USA,2004,Florida,Swimming,M,47,N,8,North,summer
AUSTRALIA,2004,New South Wales,Spearfishing,M,30,N,8,South,winter
USA,2004,Florida,Surfing,F,20,N,7,North,summer
RUSSIA,2004,Kuril Islands in the Pacific,Diving & fishing with net,M,0,N,7,North,summer
USA,2004,North Carolina,Surfing,F,28,N,7,North,summer
USA,2004,North Carolina,Swimming,F,13,N,7,North,summer
USA,2004,Texas,Swimming,F,19,N,7,North,summer
USA,2004,Texas,Wading / fishing & carrying a bag of fish,M,11,N,7,North,summer
AUSTRALIA,2004,Western Australia,Surfing,M,30,Y,7,South,winter
EGYPT,2004,Sinai Peninsula,Snorkeling,F,Teen,N,7,North,summer
USA,2004,Alabama,Wading,M,7,N,7,North,summer
USA,2004,California,Surfing,M,45,N,6,North,summer
USA,2004,Florida,In water with diving seabirds,F,0,N,6,North,summer
AUSTRALIA,2004,Western Australia,Body boarding,M,17,N,6,South,winter
USA,2004,Florida,Swimming,M,8,N,6,North,summer
SOUTH AFRICA,2004,Western Cape Province,"Swimming, poaching perlemoen",M,21,Y,6,South,winter
USA,2004,Texas,Wading,M,16,N,5,North,spring
BRAZIL,2004,Pernambuco,Swimming,M,17,N,5,South,fall
USA,2004,California,Surfing,M,44,N,5,North,spring
USA,2004,Florida,Boogie-boarding / swimming,M,9,N,5,North,spring
USA,2004,Florida,other,F,9,N,5,North,spring
BRAZIL,2004,Pernambuco,Wading,F,24,N,5,South,fall
USA,2004,Texas,Tandem surfing,M,28,N,5,North,spring
BRAZIL,2004,Pernambuco,Swimming,M,22,Y,5,South,fall
AUSTRALIA,2004,New South Wales,Diving,M,0,N,4,South,fall
TONGA,2004,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,0,Y,4,South,fall
USA,2004,Hawaii,Surfing,M,57,Y,4,North,spring
SOUTH AFRICA,2004,Western Cape Province,Surfing,M,16,N,4,South,fall
USA,2004,Florida,other,M,26,N,3,North,spring
USA,2004,Florida,Surfing,M,20,N,3,North,spring
BRAZIL,2004,Pernambuco,Body boarding,M,22,N,3,South,fall
USA,2004,Florida,Surfing,M,0,N,3,North,spring
REUNION,2004,Saint-Benoît,Surfing,M,20,N,3,South,fall
USA,2004,Florida,Swimming,M,61,N,3,North,spring
USA,2004,Hawaii,Snorkeling,F,0,N,3,North,spring
NEW ZEALAND,2004,North Island,Spearfishing,M,0,N,3,South,fall
USA,2004,Hawaii,Surfing,M,51,N,3,North,spring
AUSTRALIA,2004,Western Australia,Spearfishing,M,47,N,3,South,fall
BRAZIL,2004,Pernambuco,Swimming,M,29,Y,2,South,summer
NEW ZEALAND,2004,"South Island, near Karitane north of Dunedin",Surfing,M,15,N,2,South,summer
AUSTRALIA,2004,New South Wales,Swimming,M,0,N,2,South,summer
EGYPT,2004,other,Snorkeling,M,0,Y,2,North,winter
AUSTRALIA,2004,New South Wales,Snorkeling,M,22,N,2,South,summer
AUSTRALIA,2004,Western Australia,Scuba diving,M,46,N,1,South,summer
URUGUAY,2004,Rocha,Surfing,M,21,N,1,South,summer
VENEZUELA,2004,Anzoategui,Swimming,M,0,N,1,North,winter
VENEZUELA,2004,Anzoategui,Spearfishing,M,40,N,1,North,winter
AUSTRALIA,2004,New South Wales,Diving,M,0,N,1,South,summer
SOUTH AFRICA,2004,Eastern Cape Province,Surfing,M,22,N,1,South,summer
USA,2003,Florida,Swimming,M,13,N,12,North,winter
NEW ZEALAND,2003,Cook Islands,Swimming / shipwreck,M,45,Y,12,South,summer
AUSTRALIA,2003,Victoria,Surfing amid a shoal of sharks,M,36,N,12,South,summer
AUSTRALIA,2003,Western Australia,Swimming,M,0,N,11,South,summer
AUSTRALIA,2003,Western Australia,Swimming,M,0,N,11,South,summer
SOUTH AFRICA,2003,KwaZulu-Natal,Spearfishing,M,21,Y,11,South,summer
USA,2003,Florida,Surfing,F,35,N,11,North,winter
USA,2003,Florida,Surfing,M,24,N,11,North,winter
EGYPT,2003,Sinai Peninsula,Snorkeling,M,0,N,11,North,winter
SOUTH AFRICA,2003,KwaZulu-Natal,Surf skiing,UNKNOWN,0,N,11,South,summer
AUSTRALIA,2003,New South Wales,Standing,M,0,N,11,South,summer
USA,2003,Florida,Surfing,M,18,N,10,North,fall
AUSTRALIA,2003,New South Wales,Surfing,M,22,N,10,South,spring
USA,2003,Hawaii,Surfing,F,13,N,10,North,fall
USA,2003,Florida,Surfing,M,46,N,10,North,fall
USA,2003,Florida,Surfing,M,19,N,10,North,fall
USA,2003,Florida,Surfing,F,0,N,10,North,fall
USA,2003,Florida,Surfing,M,18,N,10,North,fall
USA,2003,Florida,Sitting on surfboard,M,50,N,10,North,fall
USA,2003,Hawaii,Wading near a fishing net,F,41,N,10,North,fall
FIJI,2003,Taveuni,Wading to shore from his boat,M,40,Y,9,South,spring
USA,2003,Florida,Surfing,M,16,N,9,North,fall
USA,2003,Florida,Surfing,M,21,N,9,North,fall
USA,2003,Florida,Surfing,M,19,N,9,North,fall
USA,2003,Florida,Surfing,M,17,N,9,North,fall
USA,2003,Florida,Surfing,M,30,N,9,North,fall
USA,2003,Florida,Body boarding,M,18,N,9,North,fall
USA,2003,South Carolina,"Standing, stepped on shark",M,15,N,9,North,fall
SOUTH AFRICA,2003,Western Cape Province,Body boarding,M,19,Y,9,South,spring
USA,2003,Florida,Wade-fishing,M,0,N,9,North,fall
USA,2003,California,"Swimming, wearing black wetsuit & swim fins",F,50,Y,8,North,summer
SOUTH AFRICA,2003,Eastern Cape Province,Sitting on surfboard,M,16,N,8,South,winter
AUSTRALIA,2003,Northern Territory,Surf skiing,M,37,N,7,South,winter
USA,2003,Florida,Surfing,M,18,N,7,North,summer
USA,2003,Florida,Wading,F,15,N,7,North,summer
BAHAMAS,2003,Abaco Islands,Spearfishing,M,58,N,7,North,summer
USA,2003,Florida,Surfing,M,21,N,7,North,summer
BAHAMAS,2003,Abaco Islands,Spearfishing,M,39,N,7,North,summer
USA,2003,Florida,Spearfishing,M,0,N,7,North,summer
FRENCH POLYNESIA,2003,Society Islands,Spearfishing,M,0,N,7,South,winter
NEW ZEALAND,2003,Cook Islands,Snorkeling,M,0,N,7,South,winter
USA,2003,Florida,Surfing,M,17,N,6,North,summer
USA,2003,Florida,Surfing,M,15,N,6,North,summer
BRAZIL,2003,Pernambuco,other,M,0,Y,6,South,winter
USA,2003,Florida,Standing,F,12,N,6,North,summer
USA,2003,Hawaii,Swimming with pod of dolphins,M,60,N,6,North,summer
USA,2003,Johnston Atoll,Swimming,M,51,N,6,North,summer
USA,2003,North Carolina,Surfing ,M,33,N,6,North,summer
USA,2003,Florida,Surfing,UNKNOWN,15,N,6,North,summer
USA,2003,Florida,Surfing,M,18,N,5,North,spring
USA,2003,Florida,Wading,M,22,N,5,North,spring
USA,2003,Hawaii,Swimming,M,20,N,5,North,spring
USA,2003,Florida,Walking,F,9,N,5,North,spring
BRAZIL,2003,Rio de Janeiro,Swimming ,M,16,N,4,South,fall
BRAZIL,2003,Pernambuco,Surfing,M,17,N,4,South,fall
BRAZIL,2003,Rio de Janeiro,Swimming,M,7,N,4,South,fall
USA,2003,Florida,Surfing,M,36,N,4,North,spring
USA,2003,Florida,Surfing,M,17,N,4,North,spring
USA,2003,Florida,Surfing,M,30,N,4,North,spring
USA,2003,Florida,Surfing,M,23,N,4,North,spring
USA,2003,Florida,Surfing,M,18,N,4,North,spring
USA,2003,Florida,Jumping,M,11,N,4,North,spring
USA,2003,Florida,Surfing,M,12,N,4,North,spring
USA,2003,Florida,Swimming (using a float),M,20,N,4,North,spring
VENEZUELA,2003,Nueva Esparta,Surfing,M,28,N,4,North,spring
USA,2003,Florida,Surfing,M,0,N,4,North,spring
USA,2003,Florida,Surfing,M,50,N,4,North,spring
NEW ZEALAND,2003,Southland,Scuba diving,M,44,N,2,South,summer
AUSTRALIA,2003,South Australia,Wading,M,37,N,2,South,summer
USA,2003,Florida,Swimming,M,54,N,2,North,winter
AUSTRALIA,2003,New South Wales,Swimming,M,24,N,2,South,summer
AUSTRALIA,2003,Queensland,Swimming,M,84,Y,2,South,summer
COSTA RICA,2003,North Pacific coast,Surfing,M,0,N,1,North,winter
AUSTRALIA,2003,Western Australia,Surfing,F,0,N,1,South,summer
AUSTRALIA,2002,Queensland,Snorkeling,F,18,N,12,South,summer
SOUTH AFRICA,2002,Western Cape Province,Snorkeling,M,25,N,12,South,summer
AUSTRALIA,2002,Queensland,Scuba diving,M,26,N,12,South,summer
AUSTRALIA,2002,Queensland,Swimming,M,23,Y,12,South,summer
BRAZIL,2002,Pernambuco,Surfing,M,19,Y,12,South,summer
MICRONESIA,2002,Caroline Islands,Scuba diving,M,0,N,11,South,summer
USA,2002,California,Body boarding,M,48,N,11,North,winter
USA,2002,Hawaii,Swimming,F,34,N,11,North,winter
TURKS & CAICOS,2002,Caicos Bank,Snorkeling,F,41,N,11,North,winter
USA,2002,Florida,Surfing,M,21,N,11,North,winter
USA,2002,Florida,Boogie boarding,M,16,N,11,North,winter
FRENCH POLYNESIA,2002,Society Islands,"Fishing, standing in 2' of water",M,52,N,11,South,summer
USA,2002,Hawaii,Swimming,F,60,N,10,North,fall
BRAZIL,2002,Pernambuco,Swimming,M,36,Y,10,South,spring
USA,2002,Florida,Surfing,M,21,N,10,North,fall
USA,2002,Florida,Surfing,M,14,N,10,North,fall
USA,2002,Florida,Surfing,M,35,N,10,North,fall
USA,2002,Florida,Surfing,M,18,N,10,North,fall
USA,2002,Florida,Surfing,M,47,N,9,North,fall
USA,2002,Florida,Surfing,M,32,N,9,North,fall
USA,2002,Hawaii,Fishing from Surfboard,M,55,N,9,North,fall
USA,2002,Oregon,Boogie boarding or Surfing,M,24,N,9,North,fall
USA,2002,California,Surfing,M,35,N,9,North,fall
BRAZIL,2002,Pernambuco,Swimming,M,19,N,9,South,spring
USA,2002,Hawaii,Body boarding,UNKNOWN,0,N,9,North,fall
SOUTH AFRICA,2002,Western Cape Province,Surf skiing,M,47,N,9,South,spring
USA,2002,Florida,Boogie boarding,M,20,N,9,North,fall
USA,2002,Hawaii,Surfing,M,16,N,8,North,summer
USA,2002,Alabama,Swimming,F,29,N,8,North,summer
USA,2002,Florida,Surfing,M,27,N,8,North,summer
USA,2002,Florida,Surfing,M,15,N,8,North,summer
USA,2002,Florida,Standing,M,15,N,8,North,summer
USA,2002,North Carolina,Standing,M,14,N,8,North,summer
USA,2002,South Carolina,Surfing,M,13,N,7,North,summer
USA,2002,North Carolina,Swimming,F,15,N,7,North,summer
BRAZIL,2002,Pernambuco,Surfing,M,22,N,7,South,winter
USA,2002,North Carolina,Standing,F,9,N,7,North,summer
AUSTRALIA,2002,Queensland,Surfing,M,30,N,6,South,winter
USA,2002,Florida,Swimming,F,11,N,6,North,summer
PAPUA NEW GUINEA,2002,Louisiade Archipelago,other,UNKNOWN,0,N,6,South,winter
PAPUA NEW GUINEA,2002,Louisiade Archipelago,Attempting to retreive a dinghy,UNKNOWN,0,Y,6,South,winter
USA,2002,Hawaii,Sitting on surfboard,UNKNOWN,0,N,6,North,summer
USA,2002,Florida,Surfing,M,28,N,6,North,summer
USA,2002,Florida,Surfing,M,50,N,6,North,summer
USA,2002,Florida,Swimming,M,10,N,6,North,summer
SOUTH AFRICA,2002,KwaZulu-Natal between Port Edward and Port St Johns,Snorkeling (filming the sardine run),M,50,N,6,South,winter
USA,2002,California,Surfing,M,24,N,5,North,spring
USA,2002,Florida,Floating on a raft,M,16,N,5,North,spring
USA,2002,Florida,Playing in the surf with his 2 dogs,M,35,N,5,North,spring
COSTA RICA,2002,Guanacaste,Surfing,M,0,N,5,North,spring
PAPUA NEW GUINEA,2002,Milne Bay Province,Collecting beche-de-mer,M,14,N,5,South,fall
USA,2002,Florida,Fishing,M,31,N,5,North,spring
BRAZIL,2002,Pernambuco,Surfing,M,40,N,5,South,fall
AUSTRALIA,2002,South Australia,Scallop diving (using surface-supplied air & a POD) ,M,23,Y,4,South,fall
USA,2002,Florida,"Surfing, but standing in water alongside board",M,34,N,4,North,spring
USA,2002,Florida,Surfing,M,28,N,4,North,spring
AUSTRALIA,2002,New South Wales,Swimming,M,45,N,4,South,fall
BAHAMAS,2002,Abaco Islands,Standing,M,43,N,4,North,spring
USA,2002,Florida,Wading,M,41,N,4,North,spring
USA,2002,Florida,Swimming / Wading,M,29,N,4,North,spring
USA,2002,Hawaii,Body-boarding,M,17,N,3,North,spring
USA,2002,Florida,Wading,F,11,N,3,North,spring
BRAZIL,2002,Pernambuco,Swimming,M,16,Y,3,South,fall
USA,2002,Florida,Swimming /  boogie boarding,M,20,N,3,North,spring
USA,2002,Florida,Snorkeling,M,39,N,3,North,spring
USA,2002,Florida,Surfing,M,31,N,3,North,spring
TURKS & CAICOS,2002,other,Capsized fishing boat,M,0,Y,2,North,winter
AUSTRALIA,2002,Queensland,Surfing,M,30 or 36,N,2,South,summer
FIJI,2002,Cikobia Island (north of Vanua Levu),other,M,15,Y,2,South,summer
AUSTRALIA,2002,New South Wales,Surfing,M,20,N,1,South,summer
AUSTRALIA,2002,Western Australia,Swimming,M,32,N,1,South,summer
SOUTH AFRICA,2002,KwaZulu-Natal,Fishing,M,16,N,1,South,summer
BRAZIL,2002,Pernambuco,Swimming,UNKNOWN,0,Y,1,South,summer
SOUTH AFRICA,2002,KwaZulu-Natal,Surf skiing,M,26,N,1,South,summer
USA,2002,Hawaii,Snorkeling,M,35,N,1,North,winter
AUSTRALIA,2001,New South Wales,Surfing,M,49,N,11,South,summer
USA,2001,Hawaii,Surfing,UNKNOWN,0,N,11,North,winter
SOUTH AFRICA,2001,KwaZulu-Natal,Kite-Boarding,M,0,N,10,South,spring
AUSTRALIA,2001,Queensland,Snorkeling,F,20,N,10,South,spring
MEXICO,2001,Guerrero,Body surfing,M,26,N,9,North,fall
USA,2001,Florida,Surfing,M,14,N,9,North,fall
USA,2001,Florida,Boogie boarding,M,65,N,9,North,fall
USA,2001,North Carolina,Surfing,M,16,N,9,North,fall
USA,2001,Florida,Walking in shallows,M,13,N,9,North,fall
USA,2001,North Carolina,Swimming ,M,28,Y,9,North,fall
USA,2001,North Carolina,Swimming,F,23,N,9,North,fall
USA,2001,Florida,Wading,M,20,N,9,North,fall
USA,2001,Virginia,Swimming ,M,10,Y,9,North,fall
BAHAMAS,2001,Abaco Islands,Spearfishing,M,44,N,8,North,summer
USA,2001,Florida,Standing,F,29,N,8,North,summer
USA,2001,Florida,Wading,M,69,N,8,North,summer
USA,2001,Florida,Boogie Boarding,M,18,N,8,North,summer
USA,2001,Florida,Boogie Boarding,M,18,N,8,North,summer
USA,2001,Florida,Surfing,M,17,N,8,North,summer
USA,2001,Florida,Surfing,M,27,N,8,North,summer
USA,2001,Florida,Surfing,M,32,N,8,North,summer
USA,2001,Florida,Surfing,F,17,N,8,North,summer
USA,2001,Florida,Surfing,F,17,N,8,North,summer
USA,2001,Florida,Surfing,M,20,N,8,North,summer
USA,2001,Florida,Surfing,M,19,N,8,North,summer
USA,2001,Florida,Surfing,M,19,N,8,North,summer
BAHAMAS,2001,Grand Bahama Island,Spearfishing,M,43,N,8,North,summer
USA,2001,South Carolina,other,F,0,N,8,North,summer
BAHAMAS,2001,Grand Bahama Island,Swimming,M,36,N,8,North,summer
USA,2001,South Carolina,other,F,0,N,7,North,summer
USA,2001,Florida,other,M,0,N,7,North,summer
USA,2001,Florida,other,F,0,N,7,North,summer
USA,2001,Florida,Surfing,M,48,N,7,North,summer
USA,2001,Florida,Boogie boarding,M,18,N,7,North,summer
MEXICO,2001,Baja California,Surfing,M,42,N,7,North,summer
USA,2001,Florida,Swimming,M,8,N,7,North,summer
USA,2001,South Carolina,other,UNKNOWN,0,N,7,North,summer
USA,2001,Georgia,Floating face-down in knee-deep water,M,35,N,7,North,summer
USA,2001,Texas,Swimming,M,14,N,6,North,summer
USA,2001,South Carolina,Wading,F,29,N,6,North,summer
USA,2001,Texas,other,M,16,N,5,North,spring
USA,2001,South Carolina,Swimming,M,11,N,5,North,spring
USA,2001,South Carolina,Swimming,M,0,N,5,North,spring
SOUTH AFRICA,2001,Eastern Cape Province,Surfing,M,26,N,5,South,fall
AUSTRALIA,2001,New South Wales,Surfing,M,33 or 37,N,5,South,fall
USA,2001,Florida,Surfing,M,45,N,5,North,spring
FIJI,2001,Taveuni,"Spearfishing, carrying his catch",M,0,Y,5,South,fall
USA,2001,Florida,Boogie boarding,M,14,N,4,North,spring
USA,2001,Florida,Surfing,M,16,N,4,North,spring
USA,2001,Florida,Surfing,M,12,N,4,North,spring
USA,2001,Florida,other,M,35,N,4,North,spring
USA,2001,Florida,Surfing,M,38,N,4,North,spring
USA,2001,Florida,Surfing,M,21,N,4,North,spring
USA,2001,Florida,Body boarding,M,12,N,4,North,spring
USA,2001,Florida,Surfing,M,22,N,4,North,spring
USA,2001,Florida,Surfing,M,19,N,4,North,spring
USA,2001,Florida,Surfing,M,22,N,4,North,spring
USA,2001,Hawaii,Surfing,M,0,N,4,North,spring
USA,2001,Florida,Surfing,UNKNOWN,16,N,4,North,spring
SOUTH AFRICA,2001,Eastern Cape Province,Surfing,M,46,N,4,South,fall
USA,2001,Florida,Standing alongside surfboard,M,26,N,4,North,spring
BRAZIL,2001,Rio Grande de Norte,Batin,F,12,N,4,South,fall
AUSTRALIA,2001,New South Wales,Surfing,M,40,N,4,South,fall
USA,2001,Hawaii,Body-boarding,M,0,N,3,North,spring
USA,2001,Florida,Surfing,M,0,N,3,North,spring
BRAZIL,2001,Pernambuco,Swimming,M,20,Y,3,South,fall
AUSTRALIA,2001,New South Wales,Surfing,M,40,N,2,South,summer
CUBA,2001,Holquin Province,Swimming,F,55,N,1,North,winter
USA,2001,California,Surfing,M,0,N,1,North,winter
AUSTRALIA,2000,Queensland,Scuba diving,M,23,N,12,South,summer
FIJI,2000,Taveuni,Swimming back from anchored sailboat,M,47,Y,12,South,summer
CANADA,2000,New Brunswick,Diving for sea urchins,M,30,N,12,North,winter
AUSTRALIA,2000,Queensland,Spearfishing,M,38,N,12,South,summer
NEW ZEALAND,2000,Cook Islands,Surfing,F,0,Y,12,South,summer
AUSTRALIA,2000,Queensland,Diving (shell maintenance),M,28,N,11,South,summer
USA,2000,Florida,Swimming,M,73,N,11,North,winter
AUSTRALIA,2000,Western Australia,Swimming,M,52,N,11,South,summer
AUSTRALIA,2000,Western Australia,Swimming,M,49,Y,11,South,summer
USA,2000,California,Surfing,M,27,N,11,North,winter
USA,2000,Florida,Surfing,M,23,N,10,North,fall
USA,2000,Hawaii,Swimming / snorkeling,F,56,N,10,North,fall
USA,2000,Florida,Swimming,M,69,N,10,North,fall
USA,2000,Florida,Surfing,M,17,N,10,North,fall
USA,2000,Florida,Surfing,M,23,N,10,North,fall
USA,2000,Florida,Body surfing,M,11,N,10,North,fall
USA,2000,North Carolina,Surfing,M,24,N,10,North,fall
USA,2000,California,Sitting on surfboard,M,0,N,9,North,fall
AUSTRALIA,2000,South Australia,Surfing,M,17,Y,9,South,spring
AUSTRALIA,2000,South Australia,Surfing,M,25,Y,9,South,spring
OKINAWA,2000,Miyako Island,Surfing,M,31,Y,9,North,fall
USA,2000,South Carolina,other,UNKNOWN,0,N,9,North,fall
USA,2000,Florida,Standing / surfing,M,49,N,9,North,fall
USA,2000,Florida,Surfing,F,26,N,9,North,fall
USA,2000,Florida,Swimming / Body surfing,M,25,N,9,North,fall
USA,2000,Florida,Swimming,M,8,N,9,North,fall
SOUTH AFRICA,2000,Western Cape Province,Free diving,M,48,N,9,South,spring
TANZANIA,2000,other,Swimming,M,28,Y,9,South,spring
USA,2000,Florida,Wading,M,40,N,9,North,fall
REUNION,2000,Saint-Pierre,Surfing,M,27,N,9,South,spring
TANZANIA,2000,other,Swimming,UNKNOWN,0,Y,9,South,spring
USA,2000,Florida,Swimming,M,47,N,8,North,summer
USA,2000,Florida,Jumped into the water,M,69,Y,8,North,summer
USA,2000,North Carolina,Swimming out to porpoises ,M,0,N,8,North,summer
USA,2000,Hawaii,"Windsurfing, but sitting on his board",M,53,N,8,North,summer
USA,2000,Florida,Surfing / Wading,M,27,N,8,North,summer
USA,2000,Florida,Standing,F,44,N,8,North,summer
TANZANIA,2000,other,Swimming,UNKNOWN,0,Y,8,South,winter
USA,2000,Florida,other,M,5,N,7,North,summer
USA,2000,Florida,Snorkeling,F,45,N,7,North,summer
USA,2000,North Carolina,Surfing,M,16,N,7,North,summer
USA,2000,North Carolina,Surfing,M,14,N,7,North,summer
SOUTH AFRICA,2000,Eastern Cape Province,Surfing,M,15,N,7,South,winter
SOUTH AFRICA,2000,Eastern Cape Province,Surfing,M,18,N,7,South,winter
SOUTH AFRICA,2000,KwaZulu-Natal,Surfing,M,0,N,7,South,winter
TONGA,2000,Minerva Reef,Scuba diving,M,69,N,7,South,winter
USA,2000,Florida,Wading,M,13,N,7,North,summer
USA,2000,Florida,Swimming ,M,41,N,7,North,summer
USA,2000,Texas,Jumping,M,5,N,7,North,summer
USA,2000,North Carolina,Playing,F,12,N,7,North,summer
USA,2000,Florida,Wading,F,20,N,7,North,summer
USA,2000,Florida,"Spearfishing, holding mesh bag with speared fish",F,55,N,7,North,summer
USA,2000,Florida,Wading,F,13,N,7,North,summer
USA,2000,Florida,Standing,F,19,N,7,North,summer
TANZANIA,2000,other,Swimming,UNKNOWN,0,Y,7,South,winter
PAPUA NEW GUINEA,2000,Madang Province,other,M,0,Y,6,South,winter
USA,2000,Florida,Standing,M,52,N,6,North,summer
USA,2000,Texas,Surfing,M,17,N,6,North,summer
USA,2000,Alabama,Swimming,M,55,N,6,North,summer
USA,2000,Alabama,Swimming ,M,44,N,6,North,summer
USA,2000,Florida,Snorkeling,M,13,N,6,North,summer
TANZANIA,2000,other,Swimming,M,0,Y,6,South,winter
PAPUA NEW GUINEA,2000,Madang Province,Standing,M,9,N,5,South,fall
PAPUA NEW GUINEA,2000,Madang Province,Diving,M,0,Y,5,South,fall
USA,2000,Florida,Walking,M,34,N,4,North,spring
USA,2000,Florida,Boogie boarding / wading,M,0,N,4,North,spring
USA,2000,Florida,Fishing,M,0,N,3,North,spring
AUSTRALIA,2000,Queensland,Swimming,M,26,N,3,South,fall
USA,2000,Florida,Boogie boarding,F,14,N,3,North,spring
USA,2000,Florida,Surfing,M,37,N,3,North,spring
NEW CALEDONIA,2000,North Province,Spearfishing,M,35,Y,3,South,fall
AUSTRALIA,2000,New South Wales,Surfing,M,0,N,3,South,fall
AUSTRALIA,2000,New South Wales,Swimming,M,0,N,3,South,fall
USA,2000,Louisiana,Spearfishing,M,39,N,3,North,spring
USA,2000,Florida,other,M,27,N,2,North,winter
SOUTH AFRICA,2000,Western Cape Province,Body surfing,M,0,N,2,South,summer
NEW ZEALAND,2000,South Island,Surfing,M,12,N,2,South,summer
AUSTRALIA,2000,South Australia,Surfing,M,26,N,2,South,summer
